"Name"	"Area_m2"	"d_m"
"14370"	86382.8604019684	331.641483911653
"1438"	733202.870610937	966.200232444178
"1439"	166236.531645469	460.064045400887
"14410"	24746.9019503903	177.506997532268
"14446"	20797.3210177575	162.726677420639
"1445"	96674.5850507905	350.841708833954
"1448"	58457.805806476	272.820069003829
"14498"	152603.548048394	440.795725979855
"1450"	37107.3452811952	217.362690938807
"1451"	58280043.9327407	8614.20086856976
"14521"	15639.0661286833	141.110869311219
"14523"	114926.375291341	382.529483509453
"14525"	43526.8560942104	235.414771068311
"14527"	23833.161942962	174.199093745795
"14529"	4524.2567794019	75.8977117051011
"14535"	435475.21968591	744.623576350046
"14537"	483066.526921907	784.257231279919
"14539"	420292.757909369	731.528099074814
"14612"	54357775.0246108	8319.28294537167
"14622"	41322.5636425114	229.376376550597
"14626"	167504.505200605	461.815287688386
"14629"	10641.1943947489	116.399267637766
"14631"	690970.575157132	937.961118884179
"14633"	500305.719290918	798.128452229569
"14635"	180865.077435098	479.879744156757
"14637"	302232.804675422	620.334392589163
"14639"	684037.531518892	933.243609789469
"14641"	755995.384614358	981.103062541479
"14645"	140805.664506779	423.413911170551
"14648"	25210.0326588802	179.160292769774
"14650"	3413840.17467962	2084.85882251237
"14768"	104834.117222872	365.347702450094
"14792"	35808.292971797	213.524084452209
"14799"	12816.6572467193	127.74456872149
"14803"	10305.8923929761	114.55072997813
"14884"	24773.2657086274	177.601524634379
"14911"	30079.1848544033	195.698767574109
"14923"	646023.776817646	906.941574459673
"14930"	1472691.96396351	1369.33912736474
"14933"	149307.433028135	436.009321063573
"14935"	29268.5446828093	193.043695848896
"14938"	8683.84781806358	105.150456215942
"14944"	1830.30285225751	48.2743614182086
"14946"	527019.621050027	819.159460894053
"14948"	17301.5775060006	148.421873950373
"14951"	1915.84321198725	49.389546859782
"14955"	16384754.8890796	4567.46295612444
"14957"	206563.081771921	512.83943315074
"14959"	9380.40002273993	109.286304056762
"14997"	30083.3085717533	195.712181813056
"14999"	18462.429656006	153.320238487677
"15003"	21380.1660794701	164.991129838506
"15007"	34291.4675081577	208.952751784673
"15009"	25784.539141151	181.190217388481
"15013"	9361.21887885999	109.17451196816
